idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
106,119,P0004_L0005_S0008,429264.0,436000.0,6736.0,102.96041999999997,0.467229,महापापा᳚त्प्रमु॒च्यते।
107,120,P0004_L0006_S0009,436000.0,442800.0,6800.0,126.76403999999998,0.508873,महाप्रत्यवाया᳚त्प्रमु॒च्यते।
108,121,P0004_L0006_S0010,442800.0,450800.0,8000.0,131.869155,0.414967,स सर्वविद्भवति स सर्व॑विद्भ॒वति।
109,122,P0004_L0007_S0011,450800.0,453200.0,2400.0,40.27188,0.185258,य ए॑वं वे॒द।
110,123,P0004_L0007_S0012,453200.0,459200.0,6000.0,94.1574,0.558145,इत्यु॑प॒निष॑त्॥
111,125,P0004_L0008_S0014,459200.0,467248.0,8048.0,158.86666875000003,0.48666,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
112,126,P0004_L0009_S0015,467248.0,471216.0,3968.0,69.37524,0.500215,ॐ स॒ह ना॑ववतु।
113,127,P0004_L0009_S0016,471216.0,476000.0,4784.0,57.38832000000001,0.42389,स॒ह नौ॑ भुनक्तु।
114,128,P0004_L0010_S0017,476000.0,480096.0,4096.0,82.87488,0.473208,स॒ह वी॒र्यं॑ करवावहै।
115,129,P0004_L0011_S0018,480096.0,487200.0,7104.0,167.94492,0.427507,ते॒ज॒स्विना॒वधी॑तमस्तु॒ मा वि॑द्विषा॒वहै᳚।
116,130,P0004_L0012_S0019,487200.0,491760.0,4560.0,158.86666875000003,0.5367,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
117,131,P0004_L0013_S0020,491760.0,497344.0,5584.0,135.09154800000002,0.550147,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
118,132,P0004_L0013_S0021,497344.0,501200.0,3856.0,117.76091999999998,0.497399,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
119,133,P0004_L0014_S0022,501200.0,505200.0,4000.0,145.59966,0.441057,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
120,134,P0004_L0014_S0023,505200.0,510400.0,5200.0,107.9781,0.205005,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
121,135,P0004_L0015_S0024,510400.0,514000.0,3600.0,114.7884,0.515555,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
122,136,P0004_L0015_S0025,514000.0,517792.0,3792.0,118.06728000000001,0.538859,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
123,137,P0004_L0016_S0026,517792.0,523600.0,5808.0,139.55249999999998,0.953216,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
124,138,P0004_L0016_S0027,523600.0,525200.0,1600.0,153.50257499999998,0.990262,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
125,139,P0004_L0017_S0028,525200.0,526322.0,1122.0,158.86666875000003,0.986641,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
